Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
2029,1,1,1,2,9,1,1,8,65.0,1.0,1.0,16.0,2.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,
2030,1,1,1,3,13,3,2,57,4.0,5.0,4.0,1.0,4.0,1.0,2.0,1.0,,,,,,,,,,
2031,3,10,2,3,2,5,3,1,4.0,5.0,12.0,1.0,4.0,2.0,4.0,1.0,3.0,2.0,2.0,3.0,7.0,1.0,3.0,1.0,,
2032,1,2,4,1,3,2,4,17,6.0,1.0,11.0,4.0,16.0,1.0,7.0,5.0,,,,,,,,,,
2033,1,4,8,1,8,9,22,11,9.0,5.0,3.0,1.0,10.0,9.0,1.0,,,,,,,,,,,
2034,1,3,2,4,4,28,1,4,3.0,4.0,3.0,8.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,
2035,1,1,2,2,3,1,2,2,21.0,1.0,6.0,7.0,23.0,8.0,5.0,2.0,,,,,,,,,,
2036,1,2,14,6,51,1,4,4,9.0,3.0,1.0,1.0,,,,,,,,,,,,,,
2037,1,1,1,1,3,4,8,1,2.0,2.0,1.0,19.0,1.0,16.0,1.0,15.0,1.0,,,,,,,,,
2038,2,3,1,22,2,2,3,4,2.0,38.0,12.0,1.0,5.0,2.0,1.0,1.0,1.0,,,,,,,,,
2039,1,12,4,11,2,12,2,3,9.0,14.0,16.0,7.0,3.0,2.0,1.0,,,,,,,,,,,
2040,2,2,5,1,22,13,2,3,24.0,5.0,13.0,14.0,8.0,3.0,6.0,5.0,1.0,,,,,,,,,
2041,1,1,3,1,2,7,8,1,2.0,1.0,8.0,1.0,24.0,11.0,3.0,10.0,15.0,5.0,,,,,,,,
2042,1,3,10,4,7,2,6,11,11.0,19.0,13.0,4.0,2.0,14.0,2.0,1.0,1.0,1.0,1.0,,,,,,,
2043,3,1,7,1,1,6,4,1,3.0,4.0,9.0,14.0,18.0,2.0,8.0,3.0,5.0,4.0,1.0,1.0,1.0,,,,,
2044,1,6,8,9,1,16,2,6,2.0,3.0,2.0,16.0,6.0,3.0,6.0,,,,,,,,,,,
2045,4,6,1,2,2,9,26,14,4.0,22.0,4.0,2.0,1.0,1.0,,,,,,,,,,,,
2046,1,2,2,4,6,1,4,3,1.0,1.0,21.0,1.0,8.0,13.0,5.0,3.0,1.0,4.0,4.0,1.0,1.0,5.0,4.0,8.0,1.0,
2047,2,1,3,2,1,15,1,1,11.0,10.0,27.0,40.0,,,,,,,,,,,,,,
2048,1,1,1,1,1,5,1,29,14.0,3.0,4.0,1.0,4.0,3.0,3.0,5.0,1.0,,,,,,,,,
2049,1,1,2,1,2,7,2,9,3.0,2.0,1.0,1.0,16.0,7.0,21.0,3.0,9.0,4.0,15.0,1.0,,,,,,
2050,1,1,3,2,7,3,10,63,8.0,9.0,3.0,1.0,,,,,,,,,,,,,,
2051,9,1,3,4,10,1,17,13,4.0,1.0,17.0,5.0,2.0,1.0,,,,,,,,,,,,
2052,4,1,3,19,16,2,1,1,20.0,7.0,1.0,20.0,1.0,4.0,6.0,2.0,1.0,2.0,1.0,,,,,,,
2053,3,3,2,1,15,1,19,21,4.0,17.0,2.0,12.0,4.0,2.0,1.0,1.0,,,,,,,,,,
2054,1,3,4,4,1,1,18,13,3.0,4.0,2.0,1.0,24.0,18.0,11.0,13.0,2.0,9.0,1.0,,,,,,,
2055,1,2,7,2,4,1,54,27,7.0,4.0,,,,,,,,,,,,,,,,
2056,1,6,5,5,2,1,4,1,4.0,1.0,20.0,25.0,19.0,2.0,9.0,14.0,1.0,2.0,,,,,,,,
2057,1,1,2,1,10,2,3,2,1.0,4.0,1.0,5.0,8.0,12.0,4.0,11.0,3.0,5.0,5.0,1.0,3.0,,,,,
2058,9,1,3,1,1,4,1,3,1.0,5.0,6.0,2.0,55.0,2.0,5.0,,,,,,,,,,,
2059,2,2,1,2,1,2,3,7,13.0,4.0,3.0,21.0,19.0,10.0,1.0,11.0,11.0,2.0,,,,,,,,
2060,1,3,1,4,1,7,1,1,15.0,4.0,3.0,55.0,3.0,2.0,1.0,6.0,1.0,7.0,1.0,2.0,,,,,,
2061,1,2,3,1,4,1,1,1,1.0,2.0,2.0,1.0,45.0,10.0,17.0,11.0,1.0,2.0,9.0,,,,,,,
2062,1,2,1,2,5,24,1,3,71.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,
2063,2,1,8,22,40,8,2,3,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,
2064,1,1,5,12,8,3,1,8,5.0,1.0,51.0,22.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,
2065,3,2,2,2,1,1,2,12,1.0,3.0,8.0,2.0,1.0,1.0,48.0,18.0,9.0,3.0,1.0,3.0,6.0,6.0,,,,
2066,2,1,1,7,1,6,1,3,7.0,5.0,6.0,5.0,4.0,29.0,3.0,4.0,3.0,1.0,14.0,5.0,5.0,6.0,2.0,,,
2067,1,14,1,2,1,1,8,12,6.0,3.0,2.0,31.0,5.0,20.0,7.0,,,,,,,,,,,
2068,2,3,1,2,3,3,1,1,1.0,2.0,36.0,8.0,3.0,32.0,21.0,2.0,5.0,10.0,1.0,3.0,,,,,,
2069,1,3,4,5,1,5,6,4,58.0,1.0,5.0,1.0,6.0,1.0,15.0,1.0,1.0,6.0,1.0,1.0,,,,,,
2070,2,4,1,4,64,53,3,9,2.0,3.0,,,,,,,,,,,,,,,,
2071,1,1,2,3,1,5,1,10,1.0,97.0,7.0,1.0,1.0,5.0,11.0,1.0,1.0,,,,,,,,,
2072,2,1,1,1,3,88,17,1,,,,,,,,,,,,,,,,,,
2073,5,26,1,28,40,4,1,1,3.0,4.0,5.0,2.0,1.0,3.0,,,,,,,,,,,,
2074,1,1,1,3,3,11,3,6,21.0,5.0,17.0,21.0,1.0,3.0,3.0,1.0,,,,,,,,,,
2075,1,2,2,1,2,5,7,22,1.0,3.0,42.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
2076,1,2,1,3,21,3,3,2,52.0,18.0,2.0,12.0,9.0,1.0,1.0,1.0,1.0,,,,,,,,,
2077,4,2,1,2,1,7,3,4,1.0,15.0,7.0,1.0,21.0,27.0,10.0,1.0,1.0,3.0,1.0,5.0,4.0,2.0,,,,
2078,1,3,2,4,5,1,2,76,5.0,8.0,1.0,,,,,,,,,,,,,,,
2079,3,2,1,1,8,2,37,2,42.0,24.0,9.0,2.0,4.0,2.0,1.0,1.0,,,,,,,,,,
2080,1,1,2,13,2,1,73,6,4.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,
2081,4,1,1,2,1,1,2,3,15.0,1.0,1.0,6.0,12.0,75.0,7.0,6.0,,,,,,,,,,
2082,1,1,1,1,5,1,1,9,12.0,57.0,12.0,13.0,2.0,18.0,2.0,1.0,5.0,,,,,,,,,
2083,1,1,5,3,1,1,2,2,1.0,4.0,10.0,57.0,30.0,2.0,10.0,2.0,,,,,,,,,,
2084,6,4,3,1,6,3,12,58,17.0,1.0,10.0,6.0,1.0,3.0,,,,,,,,,,,,
2085,1,1,2,3,2,3,1,13,9.0,73.0,2.0,5.0,11.0,5.0,11.0,4.0,,,,,,,,,,
2086,3,1,1,1,48,33,2,1,9.0,1.0,6.0,9.0,,,,,,,,,,,,,,
2087,1,3,3,1,6,1,3,2,3.0,19.0,1.0,114.0,1.0,1.0,2.0,,,,,,,,,,,
2088,1,1,1,1,2,5,2,3,7.0,3.0,28.0,53.0,6.0,13.0,4.0,5.0,15.0,1.0,2.0,,,,,,,
2089,5,2,14,9,80,29,1,1,,,,,,,,,,,,,,,,,,
2090,1,4,3,5,15,1,4,1,2.0,4.0,4.0,15.0,32.0,15.0,11.0,9.0,1.0,,,,,,,,,
2091,2,10,1,1,2,1,3,10,3.0,2.0,13.0,72.0,3.0,4.0,3.0,7.0,8.0,1.0,1.0,2.0,,,,,,
2092,1,12,1,4,2,18,2,7,1.0,1.0,5.0,1.0,10.0,10.0,6.0,7.0,1.0,3.0,5.0,7.0,5.0,1.0,1.0,2.0,2.0,4.0
2093,1,5,9,2,8,1,6,1,16.0,45.0,2.0,7.0,5.0,3.0,4.0,1.0,,,,,,,,,,
2094,1,1,1,3,2,1,1,1,2.0,2.0,4.0,8.0,40.0,61.0,18.0,4.0,,,,,,,,,,
2095,1,3,1,2,11,3,2,5,4.0,14.0,2.0,45.0,63.0,2.0,1.0,1.0,,,,,,,,,,
2096,3,14,6,1,1,5,7,1,11.0,1.0,1.0,1.0,1.0,15.0,40.0,7.0,4.0,1.0,6.0,1.0,2.0,1.0,,,,
2097,1,1,1,1,4,1,7,8,4.0,84.0,7.0,1.0,3.0,3.0,8.0,5.0,5.0,2.0,,,,,,,,
2098,1,1,7,2,1,2,36,1,1.0,14.0,33.0,5.0,20.0,5.0,3.0,1.0,4.0,1.0,4.0,1.0,,,,,,
