Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2031,1,3,10,1,10,7,29,2,19.0,1.0,4.0,2.0,5.0,2.0,1.0,,,,,,,,,,,,
2032,1,1,1,1,6,2,1,2,1.0,6.0,8.0,3.0,1.0,4.0,8.0,3.0,2.0,7.0,1.0,2.0,1.0,2.0,10.0,1.0,,,
2033,3,4,3,1,3,9,30,3,1.0,21.0,16.0,2.0,3.0,2.0,5.0,1.0,,,,,,,,,,,
2034,1,1,2,8,6,2,6,5,26.0,18.0,21.0,2.0,4.0,1.0,4.0,2.0,2.0,4.0,3.0,,,,,,,,
2035,4,1,2,2,3,1,10,13,28.0,12.0,7.0,3.0,1.0,4.0,,,,,,,,,,,,,
2036,1,1,9,2,7,3,8,1,1.0,2.0,59.0,3.0,1.0,4.0,,,,,,,,,,,,,
2037,1,11,13,21,5,1,1,1,4.0,3.0,1.0,3.0,5.0,,,,,,,,,,,,,,
2038,2,3,3,1,1,42,1,29,2.0,4.0,7.0,5.0,2.0,1.0,,,,,,,,,,,,,
2039,2,1,1,1,1,23,12,19,3.0,2.0,5.0,4.0,6.0,1.0,,,,,,,,,,,,,
2040,1,2,1,6,2,2,14,1,1.0,56.0,1.0,2.0,,,,,,,,,,,,,,,
2041,1,1,10,1,17,1,7,58,5.0,1.0,4.0,,,,,,,,,,,,,,,,
2042,2,1,4,2,1,11,4,1,2.0,5.0,2.0,14.0,3.0,5.0,1.0,3.0,6.0,1.0,2.0,,,,,,,,
2043,1,3,1,1,1,4,14,5,1.0,20.0,36.0,2.0,28.0,1.0,,,,,,,,,,,,,
2044,2,2,2,2,1,5,5,10,1.0,3.0,1.0,16.0,3.0,7.0,15.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,10.0,2.0,1.0,2.0
2045,1,2,4,3,3,2,1,1,22.0,1.0,13.0,3.0,2.0,4.0,1.0,6.0,3.0,4.0,,,,,,,,,
2046,3,2,1,1,8,2,2,2,9.0,17.0,6.0,9.0,7.0,2.0,4.0,1.0,1.0,6.0,4.0,2.0,1.0,3.0,,,,,
2047,14,2,8,3,48,17,4,2,2.0,2.0,,,,,,,,,,,,,,,,,
2048,2,1,8,1,2,2,16,3,9.0,20.0,3.0,3.0,31.0,4.0,1.0,1.0,1.0,2.0,,,,,,,,,
2049,2,24,1,1,4,10,2,16,2.0,2.0,5.0,11.0,15.0,1.0,2.0,13.0,4.0,1.0,2.0,,,,,,,,
2050,2,1,1,1,2,2,9,2,7.0,10.0,4.0,9.0,1.0,3.0,35.0,3.0,5.0,,,,,,,,,,
2051,4,1,2,1,2,1,9,1,2.0,9.0,2.0,6.0,7.0,11.0,1.0,1.0,7.0,3.0,,,,,,,,,
2052,1,2,7,9,4,1,3,8,3.0,2.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,6.0,12.0,4.0,,,,,,
2053,1,3,16,71,5,8,1,4,3.0,,,,,,,,,,,,,,,,,,
2054,2,1,4,1,23,5,1,3,27.0,3.0,1.0,3.0,2.0,11.0,6.0,,,,,,,,,,,,
2055,2,1,17,1,5,3,7,22,27.0,25.0,5.0,1.0,1.0,,,,,,,,,,,,,,
2056,1,4,1,2,1,12,4,5,5.0,5.0,3.0,3.0,18.0,1.0,1.0,1.0,2.0,,,,,,,,,,
2057,1,1,7,1,1,12,1,1,35.0,14.0,8.0,1.0,5.0,2.0,,,,,,,,,,,,,
2058,2,3,23,10,2,2,35,26,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,
2059,3,28,13,3,12,7,3,1,2.0,1.0,1.0,3.0,3.0,1.0,1.0,,,,,,,,,,,,
2060,2,1,1,3,8,3,4,7,8.0,4.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,
2061,1,1,1,5,1,2,3,3,2.0,1.0,28.0,3.0,3.0,11.0,12.0,1.0,1.0,2.0,1.0,2.0,,,,,,,
2062,1,2,1,1,3,1,1,41,24.0,1.0,5.0,4.0,1.0,6.0,2.0,,,,,,,,,,,,
2063,1,2,5,4,2,2,9,1,7.0,1.0,2.0,1.0,10.0,25.0,1.0,1.0,4.0,1.0,10.0,1.0,2.0,10.0,1.0,1.0,3.0,,
2064,1,2,1,4,1,14,12,6,24.0,1.0,3.0,3.0,6.0,1.0,2.0,,,,,,,,,,,,
2065,1,2,5,2,1,4,6,1,34.0,10.0,4.0,4.0,12.0,,,,,,,,,,,,,,
2066,1,2,1,5,9,9,1,6,4.0,3.0,39.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,7.0,,,,,,,,
2067,2,5,3,1,1,8,11,15,13.0,5.0,1.0,3.0,11.0,14.0,8.0,1.0,2.0,5.0,1.0,,,,,,,,
2068,1,1,2,4,5,3,14,10,4.0,20.0,2.0,16.0,6.0,2.0,1.0,2.0,,,,,,,,,,,
2069,2,2,2,1,5,1,7,1,8.0,1.0,1.0,19.0,8.0,1.0,3.0,3.0,8.0,1.0,9.0,,,,,,,,
2070,1,1,11,9,59,2,5,2,1.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,,
2071,2,1,2,4,1,7,2,4,4.0,10.0,5.0,4.0,31.0,7.0,1.0,1.0,2.0,,,,,,,,,,
2072,3,8,23,9,2,26,4,23,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,
2073,3,1,3,35,1,6,1,19,27.0,1.0,3.0,12.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,
2074,3,11,1,1,1,33,9,2,3.0,5.0,1.0,6.0,3.0,1.0,,,,,,,,,,,,,
2075,2,1,12,6,36,21,1,8,7.0,3.0,8.0,1.0,2.0,,,,,,,,,,,,,,
2076,3,4,3,1,31,33,4,1,1.0,1.0,4.0,,,,,,,,,,,,,,,,
2077,3,5,10,7,1,7,9,5,4.0,7.0,9.0,1.0,,,,,,,,,,,,,,,
2078,1,1,2,1,3,9,1,49,12.0,13.0,5.0,3.0,1.0,,,,,,,,,,,,,,
2079,1,3,1,3,1,22,7,2,59.0,3.0,24.0,1.0,3.0,7.0,2.0,4.0,,,,,,,,,,,
2080,1,1,39,21,30,9,2,1,,,,,,,,,,,,,,,,,,,
2081,1,1,1,5,1,21,25,5,2.0,3.0,1.0,1.0,3.0,1.0,3.0,8.0,1.0,1.0,2.0,,,,,,,,
2082,2,1,2,1,1,1,2,2,35.0,1.0,1.0,1.0,7.0,3.0,,,,,,,,,,,,,
