Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1981,1,1,4,3,3.0,7.0,12.0,7.0,1.0,6.0,3.0,2.0,1.0,6.0,,,,,,,,,,
1982,1,1,7,1,13.0,1.0,1.0,2.0,5.0,2.0,1.0,1.0,2.0,9.0,31.0,1.0,1.0,2.0,7.0,1.0,2.0,,,
1983,2,1,9,4,2.0,1.0,3.0,4.0,1.0,2.0,2.0,4.0,8.0,7.0,1.0,2.0,,,,,,,,
1984,7,1,5,12,3.0,3.0,1.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,14.0,1.0,5.0,,,,,,,
1985,3,4,2,3,1.0,3.0,6.0,1.0,1.0,1.0,2.0,1.0,16.0,10.0,1.0,1.0,2.0,1.0,1.0,,,,,
1986,5,1,1,5,15.0,4.0,14.0,12.0,13.0,4.0,1.0,2.0,1.0,3.0,7.0,,,,,,,,,
1987,2,2,5,2,27.0,4.0,1.0,13.0,5.0,9.0,6.0,1.0,2.0,2.0,1.0,5.0,1.0,,,,,,,
1988,2,15,6,4,1.0,12.0,8.0,5.0,1.0,5.0,25.0,7.0,5.0,2.0,3.0,1.0,,,,,,,,
1989,16,4,17,1,2.0,5.0,5.0,2.0,2.0,3.0,2.0,3.0,6.0,6.0,2.0,1.0,1.0,1.0,,,,,,
1990,4,15,5,4,5.0,1.0,16.0,5.0,5.0,3.0,18.0,8.0,3.0,1.0,,,,,,,,,,
1991,1,3,11,3,1.0,1.0,19.0,7.0,2.0,12.0,1.0,4.0,5.0,1.0,1.0,3.0,6.0,3.0,,,,,,
1992,1,1,16,1,4.0,3.0,1.0,9.0,2.0,1.0,5.0,16.0,1.0,5.0,2.0,2.0,1.0,1.0,,,,,,
1993,7,2,3,14,6.0,3.0,1.0,13.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
1994,1,1,1,4,2.0,1.0,30.0,12.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,
1995,2,1,1,3,2.0,3.0,13.0,2.0,3.0,2.0,5.0,1.0,4.0,1.0,1.0,8.0,3.0,,,,,,,
1996,1,7,1,1,13.0,1.0,1.0,19.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,2.0,3.0,1.0,7.0,7.0,3.0,2.0,3.0
1997,1,3,1,2,4.0,1.0,8.0,1.0,8.0,10.0,3.0,13.0,1.0,23.0,3.0,3.0,,,,,,,,
1998,3,9,1,29,4.0,1.0,14.0,10.0,4.0,2.0,1.0,,,,,,,,,,,,,
1999,9,1,1,3,26.0,2.0,4.0,11.0,4.0,7.0,2.0,1.0,2.0,,,,,,,,,,,
2000,3,2,3,2,14.0,5.0,1.0,18.0,1.0,11.0,5.0,3.0,8.0,5.0,12.0,4.0,1.0,7.0,1.0,1.0,,,,
2001,3,1,1,1,2.0,2.0,3.0,44.0,22.0,3.0,1.0,2.0,3.0,1.0,1.0,,,,,,,,,
2002,3,1,1,4,4.0,2.0,2.0,1.0,1.0,32.0,4.0,1.0,19.0,1.0,,,,,,,,,,
2003,1,2,2,4,2.0,3.0,5.0,6.0,6.0,2.0,2.0,1.0,5.0,14.0,8.0,11.0,6.0,1.0,3.0,,,,,
2004,1,2,1,6,1.0,1.0,3.0,32.0,40.0,3.0,3.0,2.0,1.0,,,,,,,,,,,
2005,2,1,2,13,3.0,18.0,2.0,1.0,2.0,1.0,1.0,1.0,5.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,
2006,1,1,1,7,2.0,3.0,1.0,3.0,11.0,21.0,6.0,14.0,1.0,1.0,5.0,3.0,5.0,10.0,2.0,3.0,,,,
2007,6,19,1,17,3.0,5.0,16.0,3.0,11.0,2.0,2.0,2.0,11.0,1.0,,,,,,,,,,
2008,1,2,2,4,1.0,2.0,2.0,1.0,3.0,5.0,1.0,4.0,5.0,1.0,11.0,7.0,,,,,,,,
2009,3,6,8,3,2.0,20.0,10.0,5.0,12.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,,,,,,,,
2010,3,7,4,2,3.0,1.0,2.0,11.0,1.0,56.0,1.0,3.0,6.0,,,,,,,,,,,
2011,2,1,1,5,2.0,12.0,5.0,2.0,1.0,4.0,3.0,16.0,5.0,11.0,1.0,1.0,2.0,2.0,4.0,1.0,4.0,4.0,1.0,
2012,4,5,6,13,5.0,4.0,2.0,1.0,16.0,13.0,5.0,12.0,8.0,4.0,1.0,,,,,,,,,
2013,1,2,4,1,1.0,47.0,27.0,19.0,3.0,1.0,2.0,4.0,1.0,6.0,2.0,1.0,2.0,,,,,,,
2014,6,1,1,3,1.0,34.0,2.0,16.0,6.0,1.0,4.0,1.0,2.0,4.0,1.0,,,,,,,,,
2015,2,1,1,2,2.0,15.0,1.0,52.0,3.0,3.0,2.0,2.0,,,,,,,,,,,,
2016,76,10,1,1,,,,,,,,,,,,,,,,,,,,
2017,1,1,8,14,3.0,2.0,1.0,10.0,8.0,4.0,7.0,6.0,1.0,12.0,1.0,2.0,7.0,,,,,,,
2018,25,2,22,2,2.0,24.0,12.0,6.0,4.0,1.0,2.0,,,,,,,,,,,,,
2019,8,1,1,7,16.0,6.0,3.0,18.0,6.0,8.0,1.0,3.0,2.0,1.0,1.0,,,,,,,,,
2020,2,4,2,1,2.0,6.0,15.0,16.0,3.0,4.0,17.0,3.0,,,,,,,,,,,,
2021,4,1,2,5,2.0,6.0,4.0,18.0,3.0,17.0,3.0,1.0,6.0,10.0,,,,,,,,,,
2022,1,1,3,1,1.0,3.0,5.0,3.0,2.0,2.0,8.0,4.0,8.0,1.0,1.0,8.0,1.0,2.0,2.0,1.0,5.0,2.0,4.0,
2023,1,34,1,28,6.0,2.0,5.0,5.0,12.0,5.0,5.0,15.0,1.0,4.0,,,,,,,,,,
2024,3,4,4,2,15.0,6.0,9.0,1.0,8.0,10.0,1.0,2.0,25.0,8.0,3.0,,,,,,,,,
2025,1,8,14,4,2.0,1.0,4.0,25.0,1.0,9.0,2.0,1.0,2.0,,,,,,,,,,,
2026,3,1,1,1,1.0,5.0,7.0,29.0,26.0,21.0,1.0,4.0,3.0,,,,,,,,,,,
